xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
87.0;0.0;0.0;20.0;0.0;0.0
110.0;0.0;0.0;40.0;0.0;0.0
98.0;0.0;0.0;71.0;0.0;0.0
111.0;0.0;0.0;94.0;0.0;-0.0
112.0;0.0;0.0;116.0;0.0;-0.0
0.0;145.0;15.000000000000002;0.0;0.0;1.0
88.0;0.0;0.0;26.999999999999986;0.0;0.0
102.0;0.0;0.0;56.999999999999986;0.0;0.0
93.0;0.0;0.0;76.99999999999999;0.0;0.0
108.0;0.0;0.0;104.99999999999999;0.0;0.0
0.0;132.0;24.0;0.0;0.0;1.0
77.0;0.0;0.0;32.0;0.0;0.0
87.0;0.0;0.0;59.0;0.0;-0.0
83.0;0.0;0.0;93.0;0.0;0.0
99.0;0.0;0.0;126.99999999999999;0.0;0.0
0.0;149.27884615384616;44.27884615384616;12.721153846153825;0.0;1.0
48.72115384615383;0.0;0.0;41.721153846153825;0.0;-0.0
95.0;0.0;0.0;77.72115384615383;0.0;-0.0
94.0;0.0;0.0;103.72115384615383;0.0;-0.0
0.0;129.7211538461538;27.72115384615373;0.0;0.0;1.0
74.27884615384627;0.0;0.0;34.0;0.0;-0.0
94.0;0.0;0.0;53.0;0.0;-0.0
94.0;0.0;0.0;79.0;0.0;-0.0
94.0;0.0;0.0;106.0;0.0;-0.0
0.0;133.0;31.00000000000001;1.9999999999999858;0.0;1.0
52.99999999999999;0.0;0.0;29.999999999999986;0.0;-0.0
92.0;0.0;0.0;64.99999999999999;0.0;-0.0
78.0;0.0;0.0;89.99999999999999;0.0;0.0
0.0;118.99999999999999;0.0;0.0;0.0;1.0
74.0;0.0;0.0;32.0;0.0;0.0
101.0;0.0;0.0;57.0;0.0;-0.0
96.0;0.0;0.0;86.0;0.0;-0.0
103.99999999999999;0.0;0.0;120.0;0.0;-0.0
0.0;149.27884615384616;52.27884615384616;3.7211538461538396;0.0;1.0
47.72115384615384;0.0;0.0;42.72115384615384;0.0;-0.0
90.0;0.0;0.0;61.72115384615384;0.0;0.0
78.0;0.0;0.0;87.72115384615384;0.0;0.0
100.0;0.0;0.0;118.72115384615384;0.0;0.0
0.0;147.72115384615384;31.72115384615384;0.0;0.0;1.0
76.27884615384616;0.0;0.0;32.0;0.0;-0.0
88.0;0.0;0.0;58.0;0.0;0.0
106.0;0.0;0.0;91.0;0.0;0.0
102.0;0.0;0.0;124.0;0.0;0.0
0.0;146.0;30.00000000000004;0.0;0.0;1.0
79.99999999999996;0.0;0.0;23.0;0.0;0.0
121.0;0.0;0.0;47.0;0.0;0.0
100.0;0.0;0.0;77.0;0.0;0.0
91.0;0.0;0.0;108.0;0.0;0.0
98.0;0.0;0.0;136.0;0.0;0.0
90.0;0.0;0.0;164.0;0.0;0.0
104.0;0.0;0.0;194.0;0.0;0.0
105.0;0.0;0.0;225.0;0.0;0.0
