Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xdde2805d
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [8e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16718 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 8.597783e+03, 3210 iterations, 0.11 seconds (0.11 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8597.78294    0   76 20800.0000 8597.78294  58.7%     -    0s
H    0     0                    18466.966792 8597.78294  53.4%     -    0s
     0     0 8918.69365    0   80 18466.9668 8918.69365  51.7%     -    0s
     0     0 8918.82033    0   81 18466.9668 8918.82033  51.7%     -    0s
     0     0 9011.23949    0   83 18466.9668 9011.23949  51.2%     -    0s
     0     0 9029.30985    0   90 18466.9668 9029.30985  51.1%     -    0s
     0     0 9029.44275    0   89 18466.9668 9029.44275  51.1%     -    0s
     0     0 9029.45599    0   87 18466.9668 9029.45599  51.1%     -    0s
     0     0 9058.48028    0   89 18466.9668 9058.48028  50.9%     -    0s
     0     0 9073.29910    0   90 18466.9668 9073.29910  50.9%     -    0s
     0     0 9074.47716    0   89 18466.9668 9074.47716  50.9%     -    0s
     0     0 9074.70878    0   88 18466.9668 9074.70878  50.9%     -    0s
     0     0 9091.00216    0   88 18466.9668 9091.00216  50.8%     -    0s
     0     0 9096.09124    0   88 18466.9668 9096.09124  50.7%     -    0s
     0     0 9100.52100    0   89 18466.9668 9100.52100  50.7%     -    0s
     0     0 9100.54318    0   89 18466.9668 9100.54318  50.7%     -    0s
     0     0 9114.32855    0   90 18466.9668 9114.32855  50.6%     -    0s
     0     0 9117.14978    0   90 18466.9668 9117.14978  50.6%     -    0s
     0     0 9117.14978    0   90 18466.9668 9117.14978  50.6%     -    0s
     0     0 9140.44098    0   92 18466.9668 9140.44098  50.5%     -    0s
H    0     0                    18264.782156 9140.44098  50.0%     -    0s
     0     0 9142.70715    0   91 18264.7822 9142.70715  49.9%     -    0s
     0     0 9144.66481    0   91 18264.7822 9144.66481  49.9%     -    0s
     0     0 9144.74133    0   92 18264.7822 9144.74133  49.9%     -    0s
     0     0 9166.58813    0   93 18264.7822 9166.58813  49.8%     -    0s
     0     0 9169.08436    0   93 18264.7822 9169.08436  49.8%     -    0s
     0     0 9169.72912    0   95 18264.7822 9169.72912  49.8%     -    0s
     0     0 9169.91884    0   96 18264.7822 9169.91884  49.8%     -    0s
     0     0 9190.72893    0   93 18264.7822 9190.72893  49.7%     -    0s
     0     0 9191.99601    0   94 18264.7822 9191.99601  49.7%     -    0s
     0     0 9192.30994    0   95 18264.7822 9192.30994  49.7%     -    0s
     0     0 9192.34815    0   95 18264.7822 9192.34815  49.7%     -    0s
     0     0 9208.96175    0   93 18264.7822 9208.96175  49.6%     -    1s
     0     0 9210.55736    0   93 18264.7822 9210.55736  49.6%     -    1s
     0     0 9210.99138    0   94 18264.7822 9210.99138  49.6%     -    1s
     0     0 9211.00859    0   94 18264.7822 9211.00859  49.6%     -    1s
     0     0 9216.92896    0   95 18264.7822 9216.92896  49.5%     -    1s
     0     0 9217.17339    0   94 18264.7822 9217.17339  49.5%     -    1s
     0     0 9221.09492    0   92 18264.7822 9221.09492  49.5%     -    1s
     0     0 9221.53678    0   94 18264.7822 9221.53678  49.5%     -    1s
     0     0 9221.68600    0   91 18264.7822 9221.68600  49.5%     -    1s
     0     0 9225.27768    0   93 18264.7822 9225.27768  49.5%     -    1s
     0     0 9225.47112    0   94 18264.7822 9225.47112  49.5%     -    1s
     0     0 9234.45582    0   92 18264.7822 9234.45582  49.4%     -    1s
     0     0 9235.62611    0   93 18264.7822 9235.62611  49.4%     -    1s
     0     0 9236.09577    0   93 18264.7822 9236.09577  49.4%     -    1s
     0     0 9236.25007    0   94 18264.7822 9236.25007  49.4%     -    1s
     0     0 9245.54536    0   94 18264.7822 9245.54536  49.4%     -    1s
H    0     0                    18212.718076 9245.54536  49.2%     -    1s
     0     0 9246.96555    0   95 18212.7181 9246.96555  49.2%     -    1s
     0     0 9247.09356    0   95 18212.7181 9247.09356  49.2%     -    1s
     0     0 9251.26989    0   94 18212.7181 9251.26989  49.2%     -    1s
     0     0 9252.93189    0   94 18212.7181 9252.93189  49.2%     -    1s
     0     0 9253.17199    0   94 18212.7181 9253.17199  49.2%     -    1s
     0     0 9255.86920    0   92 18212.7181 9255.86920  49.2%     -    1s
