Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xb035f433
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16715 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 1.012208e+04, 3268 iterations, 0.13 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 10122.0768    0   90 20800.0000 10122.0768  51.3%     -    0s
     0     0 10326.1982    0   94 20800.0000 10326.1982  50.4%     -    0s
     0     0 10346.2051    0   92 20800.0000 10346.2051  50.3%     -    0s
     0     0 10346.2893    0   94 20800.0000 10346.2893  50.3%     -    0s
     0     0 10520.0896    0   93 20800.0000 10520.0896  49.4%     -    0s
     0     0 10527.2617    0   95 20800.0000 10527.2617  49.4%     -    0s
     0     0 10528.9742    0   96 20800.0000 10528.9742  49.4%     -    0s
     0     0 10529.1454    0   96 20800.0000 10529.1454  49.4%     -    0s
     0     0 10588.9787    0   95 20800.0000 10588.9787  49.1%     -    0s
     0     0 10596.5356    0   96 20800.0000 10596.5356  49.1%     -    0s
     0     0 10598.2361    0   96 20800.0000 10598.2361  49.0%     -    0s
     0     0 10599.9229    0   96 20800.0000 10599.9229  49.0%     -    0s
     0     0 10599.9820    0   97 20800.0000 10599.9820  49.0%     -    0s
     0     0 10639.0661    0   97 20800.0000 10639.0661  48.9%     -    0s
     0     0 10652.0880    0   99 20800.0000 10652.0880  48.8%     -    0s
     0     0 10652.9934    0   99 20800.0000 10652.9934  48.8%     -    0s
     0     0 10653.1274    0   99 20800.0000 10653.1274  48.8%     -    0s
     0     0 10678.3239    0   95 20800.0000 10678.3239  48.7%     -    0s
     0     0 10682.4769    0   99 20800.0000 10682.4769  48.6%     -    0s
     0     0 10683.3418    0  100 20800.0000 10683.3418  48.6%     -    0s
     0     0 10683.4010    0  100 20800.0000 10683.4010  48.6%     -    0s
     0     0 10688.1701    0  101 20800.0000 10688.1701  48.6%     -    0s
     0     0 10692.6807    0  100 20800.0000 10692.6807  48.6%     -    0s
     0     0 10693.1845    0  101 20800.0000 10693.1845  48.6%     -    0s
     0     0 10693.2418    0  101 20800.0000 10693.2418  48.6%     -    0s
     0     0 10702.7845    0  100 20800.0000 10702.7845  48.5%     -    0s
     0     0 10704.0967    0  100 20800.0000 10704.0967  48.5%     -    0s
     0     0 10704.2260    0  100 20800.0000 10704.2260  48.5%     -    0s
     0     0 10711.5241    0   99 20800.0000 10711.5241  48.5%     -    0s
     0     0 10713.3740    0  100 20800.0000 10713.3740  48.5%     -    0s
     0     0 10713.9568    0  100 20800.0000 10713.9568  48.5%     -    0s
     0     0 10713.9674    0  100 20800.0000 10713.9674  48.5%     -    0s
     0     0 10721.6771    0  100 20800.0000 10721.6771  48.5%     -    1s
     0     0 10724.8166    0  101 20800.0000 10724.8166  48.4%     -    1s
     0     0 10725.7213    0  101 20800.0000 10725.7213  48.4%     -    1s
     0     0 10725.9649    0  101 20800.0000 10725.9649  48.4%     -    1s
     0     0 10731.6909    0   98 20800.0000 10731.6909  48.4%     -    1s
H    0     0                    20673.000000 10731.6909  48.1%     -    1s
     0     0 10732.1026    0   98 20673.0000 10732.1026  48.1%     -    1s
     0     0 10732.1200    0   99 20673.0000 10732.1200  48.1%     -    1s
     0     0 10738.9473    0  100 20673.0000 10738.9473  48.1%     -    1s
     0     0 10740.7519    0  100 20673.0000 10740.7519  48.0%     -    1s
     0     0 10741.1965    0  100 20673.0000 10741.1965  48.0%     -    1s
     0     0 10741.2146    0  100 20673.0000 10741.2146  48.0%     -    1s
     0     0 10744.3441    0   99 20673.0000 10744.3441  48.0%     -    1s
H    0     0                    20605.000000 10744.3441  47.9%     -    1s
     0     0 10744.3660    0   99 20605.0000 10744.3660  47.9%     -    1s
     0     0 10745.1117    0   99 20605.0000 10745.1117  47.9%     -    1s
     0     0 10745.1117    0   99 20605.0000 10745.1117  47.9%     -    1s
H    0     0                    14810.025180 10745.1117  27.4%     -    1s
     0     2 10751.0062    0   99 14810.0252 10751.0062  27.4%     -    2s
H   26    26                    14735.779626 10775.3004  26.9%  25.4    2s
H   52    52                    14563.883214 10775.3004  26.0%  20.7    2s
H   71    71                    14524.759183 10775.3004  25.8%  19.3    2s
H   72    72                    14436.898072 10775.3004  25.4%  19.4    2s
H   73    73                    14115.848849 10775.3004  23.7%  19.3    2s
