Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xafbc62cf
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16715 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36400.000000

Root relaxation: objective 1.314540e+04, 4250 iterations, 0.20 seconds (0.23 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13145.3968    0   83 36400.0000 13145.3968  63.9%     -    0s
H    0     0                    31223.580986 13145.3968  57.9%     -    0s
H    0     0                    31171.712660 13145.3968  57.8%     -    0s
     0     0 13356.9242    0   92 31171.7127 13356.9242  57.2%     -    0s
     0     0 13412.5461    0   93 31171.7127 13412.5461  57.0%     -    0s
     0     0 13412.5829    0   93 31171.7127 13412.5829  57.0%     -    0s
     0     0 13810.2318    0   94 31171.7127 13810.2318  55.7%     -    0s
     0     0 13870.2495    0   94 31171.7127 13870.2495  55.5%     -    0s
     0     0 13871.7406    0   93 31171.7127 13871.7406  55.5%     -    0s
     0     0 13877.2634    0   93 31171.7127 13877.2634  55.5%     -    0s
     0     0 14201.5178    0   93 31171.7127 14201.5178  54.4%     -    0s
     0     0 14250.8669    0   95 31171.7127 14250.8669  54.3%     -    0s
     0     0 14251.4802    0   93 31171.7127 14251.4802  54.3%     -    0s
     0     0 14565.2177    0   93 31171.7127 14565.2177  53.3%     -    0s
H    0     0                    31113.390564 14565.2177  53.2%     -    0s
     0     0 14601.0375    0   93 31113.3906 14601.0375  53.1%     -    0s
     0     0 14602.4013    0   91 31113.3906 14602.4013  53.1%     -    0s
     0     0 14602.6592    0   91 31113.3906 14602.6592  53.1%     -    0s
     0     0 14751.8683    0   89 31113.3906 14751.8683  52.6%     -    0s
     0     0 14777.7198    0   95 31113.3906 14777.7198  52.5%     -    0s
     0     0 14788.2527    0   96 31113.3906 14788.2527  52.5%     -    0s
     0     0 14789.2944    0   96 31113.3906 14789.2944  52.5%     -    0s
     0     0 14866.4278    0   93 31113.3906 14866.4278  52.2%     -    1s
H    0     0                    31035.090941 14866.4278  52.1%     -    1s
     0     0 14911.0253    0   90 31035.0909 14911.0253  52.0%     -    1s
     0     0 14911.8608    0   89 31035.0909 14911.8608  52.0%     -    1s
     0     0 14912.1454    0   89 31035.0909 14912.1454  52.0%     -    1s
     0     0 14991.1594    0   92 31035.0909 14991.1594  51.7%     -    1s
     0     0 15011.2863    0   94 31035.0909 15011.2863  51.6%     -    1s
     0     0 15016.0932    0   94 31035.0909 15016.0932  51.6%     -    1s
     0     0 15016.7998    0   95 31035.0909 15016.7998  51.6%     -    1s
     0     0 15016.8149    0   96 31035.0909 15016.8149  51.6%     -    1s
     0     0 15095.2537    0   97 31035.0909 15095.2537  51.4%     -    1s
H    0     0                    30887.280723 15095.2537  51.1%     -    1s
     0     0 15109.3070    0   95 30887.2807 15109.3070  51.1%     -    1s
     0     0 15111.8892    0   96 30887.2807 15111.8892  51.1%     -    1s
     0     0 15111.9405    0   96 30887.2807 15111.9405  51.1%     -    1s
     0     0 15150.3668    0   95 30887.2807 15150.3668  50.9%     -    1s
     0     0 15156.4945    0   97 30887.2807 15156.4945  50.9%     -    1s
     0     0 15157.8226    0   96 30887.2807 15157.8226  50.9%     -    1s
     0     0 15157.8560    0   96 30887.2807 15157.8560  50.9%     -    1s
     0     0 15202.3091    0   94 30887.2807 15202.3091  50.8%     -    1s
     0     0 15213.4788    0   94 30887.2807 15213.4788  50.7%     -    1s
     0     0 15214.8609    0   94 30887.2807 15214.8609  50.7%     -    1s
     0     0 15215.3092    0   94 30887.2807 15215.3092  50.7%     -    1s
     0     0 15272.2797    0   95 30887.2807 15272.2797  50.6%     -    1s
     0     0 15281.8405    0   96 30887.2807 15281.8405  50.5%     -    1s
     0     0 15282.1656    0   95 30887.2807 15282.1656  50.5%     -    1s
     0     0 15295.6952    0   93 30887.2807 15295.6952  50.5%     -    1s
     0     0 15295.7726    0   93 30887.2807 15295.7726  50.5%     -    1s
     0     0 15327.1807    0   93 30887.2807 15327.1807  50.4%     -    1s
     0     0 15333.7172    0   92 30887.2807 15333.7172  50.4%     -    1s
     0     0 15334.0903    0   94 30887.2807 15334.0903  50.4%     -    1s
     0     0 15351.9113    0   91 30887.2807 15351.9113  50.3%     -    1s
H    0     0                    30850.262755 15351.9113  50.2%     -    1s
     0     0 15365.0499    0   93 30850.2628 15365.0499  50.2%     -    1s
