Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xf0f13c2f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36423.000000

Root relaxation: objective 1.331465e+04, 3767 iterations, 0.17 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13314.6499    0   85 36423.0000 13314.6499  63.4%     -    0s
H    0     0                    32678.974032 13314.6499  59.3%     -    0s
     0     0 13783.6000    0   90 32678.9740 13783.6000  57.8%     -    0s
     0     0 13886.1651    0   88 32678.9740 13886.1651  57.5%     -    0s
     0     0 13886.3215    0   88 32678.9740 13886.3215  57.5%     -    0s
     0     0 14323.5808    0   98 32678.9740 14323.5808  56.2%     -    0s
     0     0 14365.7187    0   96 32678.9740 14365.7187  56.0%     -    0s
     0     0 14371.0620    0   97 32678.9740 14371.0620  56.0%     -    0s
     0     0 14758.9202    0   96 32678.9740 14758.9202  54.8%     -    0s
     0     0 14829.2528    0   97 32678.9740 14829.2528  54.6%     -    0s
     0     0 14832.6246    0   97 32678.9740 14832.6246  54.6%     -    0s
     0     0 14832.7256    0   97 32678.9740 14832.7256  54.6%     -    0s
     0     0 15052.4257    0   92 32678.9740 15052.4257  53.9%     -    0s
     0     0 15125.5433    0   91 32678.9740 15125.5433  53.7%     -    0s
     0     0 15130.7939    0   92 32678.9740 15130.7939  53.7%     -    0s
     0     0 15131.8920    0   92 32678.9740 15131.8920  53.7%     -    0s
     0     0 15131.9233    0   92 32678.9740 15131.9233  53.7%     -    0s
     0     0 15308.5692    0   93 32678.9740 15308.5692  53.2%     -    0s
     0     0 15351.0345    0   95 32678.9740 15351.0345  53.0%     -    0s
     0     0 15355.4660    0   95 32678.9740 15355.4660  53.0%     -    0s
     0     0 15355.8630    0   95 32678.9740 15355.8630  53.0%     -    0s
     0     0 15498.3445    0   92 32678.9740 15498.3445  52.6%     -    1s
H    0     0                    32637.593792 15498.3445  52.5%     -    1s
     0     0 15534.7860    0   94 32637.5938 15534.7860  52.4%     -    1s
     0     0 15537.3245    0   95 32637.5938 15537.3245  52.4%     -    1s
     0     0 15537.9018    0   95 32637.5938 15537.9018  52.4%     -    1s
     0     0 15537.9385    0   95 32637.5938 15537.9385  52.4%     -    1s
     0     0 15709.7330    0   93 32637.5938 15709.7330  51.9%     -    1s
     0     0 15724.3516    0   94 32637.5938 15724.3516  51.8%     -    1s
     0     0 15724.6727    0   94 32637.5938 15724.6727  51.8%     -    1s
     0     0 15836.5432    0   91 32637.5938 15836.5432  51.5%     -    1s
H    0     0                    32486.783769 15836.5432  51.3%     -    1s
     0     0 15847.5627    0   94 32486.7838 15847.5627  51.2%     -    1s
     0     0 15848.1064    0   93 32486.7838 15848.1064  51.2%     -    1s
     0     0 15884.6512    0   95 32486.7838 15884.6512  51.1%     -    1s
     0     0 15902.8292    0   95 32486.7838 15902.8292  51.0%     -    1s
     0     0 15906.0363    0   95 32486.7838 15906.0363  51.0%     -    1s
     0     0 15906.5703    0   95 32486.7838 15906.5703  51.0%     -    1s
     0     0 15928.1226    0   95 32486.7838 15928.1226  51.0%     -    1s
H    0     0                    32352.601563 15928.1226  50.8%     -    1s
     0     0 15929.5469    0   95 32352.6016 15929.5469  50.8%     -    1s
     0     0 15930.8981    0   96 32352.6016 15930.8981  50.8%     -    1s
     0     0 15930.9342    0   96 32352.6016 15930.9342  50.8%     -    1s
     0     0 15937.7887    0   97 32352.6016 15937.7887  50.7%     -    1s
     0     0 15939.8066    0   97 32352.6016 15939.8066  50.7%     -    1s
     0     0 15939.8640    0   97 32352.6016 15939.8640  50.7%     -    1s
     0     0 15948.1912    0   96 32352.6016 15948.1912  50.7%     -    1s
H    0     0                    31899.084830 15948.1912  50.0%     -    1s
     0     0 15949.8282    0   96 31899.0848 15949.8282  50.0%     -    1s
     0     0 15951.5834    0   96 31899.0848 15951.5834  50.0%     -    1s
     0     0 15951.6457    0   95 31899.0848 15951.6457  50.0%     -    1s
     0     0 15960.4048    0   95 31899.0848 15960.4048  50.0%     -    1s
     0     0 15961.8275    0   96 31899.0848 15961.8275  50.0%     -    1s
     0     0 15961.9725    0   96 31899.0848 15961.9725  50.0%     -    1s
     0     0 15976.4075    0   95 31899.0848 15976.4075  49.9%     -    1s
H    0     0                    31831.573815 15976.4075  49.8%     -    1s
