Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xab228c3b
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.02s
Presolved: 4317 rows, 4266 columns, 16720 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 52000.000000

Root relaxation: objective 1.657450e+04, 2877 iterations, 0.13 seconds (0.15 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16574.5042    0   71 52000.0000 16574.5042  68.1%     -    0s
H    0     0                    42477.614528 16574.5042  61.0%     -    0s
     0     0 17744.7709    0   70 42477.6145 17744.7709  58.2%     -    0s
     0     0 17785.2536    0   66 42477.6145 17785.2536  58.1%     -    0s
     0     0 17787.1796    0   65 42477.6145 17787.1796  58.1%     -    0s
     0     0 17787.1897    0   65 42477.6145 17787.1897  58.1%     -    0s
     0     0 18631.9768    0   79 42477.6145 18631.9768  56.1%     -    0s
     0     0 18674.5786    0   79 42477.6145 18674.5786  56.0%     -    0s
     0     0 18676.5756    0   80 42477.6145 18676.5756  56.0%     -    0s
     0     0 18891.0605    0   78 42477.6145 18891.0605  55.5%     -    0s
     0     0 18897.5475    0   79 42477.6145 18897.5475  55.5%     -    0s
     0     0 18897.9813    0   77 42477.6145 18897.9813  55.5%     -    0s
     0     0 18966.0136    0   87 42477.6145 18966.0136  55.4%     -    0s
     0     0 18989.4214    0   88 42477.6145 18989.4214  55.3%     -    0s
     0     0 18991.3789    0   89 42477.6145 18991.3789  55.3%     -    0s
     0     0 18991.4041    0   89 42477.6145 18991.4041  55.3%     -    0s
     0     0 19019.8386    0   87 42477.6145 19019.8386  55.2%     -    0s
     0     0 19019.8386    0   87 42477.6145 19019.8386  55.2%     -    0s
     0     0 19033.2676    0   89 42477.6145 19033.2676  55.2%     -    0s
H    0     0                    42308.450566 19033.2676  55.0%     -    0s
     0     0 19037.3552    0   88 42308.4506 19037.3552  55.0%     -    0s
     0     0 19037.5886    0   91 42308.4506 19037.5886  55.0%     -    0s
     0     0 19052.3839    0   87 42308.4506 19052.3839  55.0%     -    1s
     0     0 19057.6824    0   89 42308.4506 19057.6824  55.0%     -    1s
     0     0 19080.8262    0   86 42308.4506 19080.8262  54.9%     -    1s
H    0     0                    41984.070009 19080.8262  54.6%     -    1s
     0     0 19086.1388    0   89 41984.0700 19086.1388  54.5%     -    1s
     0     0 19087.4091    0   91 41984.0700 19087.4091  54.5%     -    1s
     0     0 19094.4919    0   90 41984.0700 19094.4919  54.5%     -    1s
     0     0 19097.8479    0   89 41984.0700 19097.8479  54.5%     -    1s
     0     0 19097.9132    0   88 41984.0700 19097.9132  54.5%     -    1s
     0     0 19107.6650    0   92 41984.0700 19107.6650  54.5%     -    1s
     0     0 19108.0892    0   91 41984.0700 19108.0892  54.5%     -    1s
     0     0 19110.6180    0   91 41984.0700 19110.6180  54.5%     -    1s
     0     0 19110.8378    0   92 41984.0700 19110.8378  54.5%     -    1s
     0     0 19112.9821    0   91 41984.0700 19112.9821  54.5%     -    1s
     0     0 19112.9821    0   91 41984.0700 19112.9821  54.5%     -    2s
H    0     0                    37694.219133 19112.9821  49.3%     -    2s
H    0     0                    28410.889759 19112.9821  32.7%     -    2s
     0     2 19116.8240    0   91 28410.8898 19116.8240  32.7%     -    2s
H   26    26                    27608.674592 19116.8240  30.8%  57.8    3s
H   52    52                    26945.466791 19116.8240  29.1%  51.8    3s
H   78    78                    26539.375504 19116.8240  28.0%  44.8    3s
H   83    83                    26179.575502 19116.8240  27.0%  42.8    3s
H   96    92                    25952.275199 19116.8240  26.3%  40.2    3s
H  103    99                    25561.399267 19116.8240  25.2%  38.2    3s
H  104   100                    25063.235415 19116.8240  23.7%  38.1    3s
H  105   101                    25035.628856 19116.8240  23.6%  38.4    3s
H  118   114                    24753.852902 19116.8240  22.8%  37.3    3s
H  120   116                    24340.481116 19116.8240  21.5%  36.9    3s
H  130   126                    24079.542476 19116.8240  20.6%  36.9    3s
H  130   126                    23884.162696 19116.8240  20.0%  36.9    3s
H  135   131                    23499.043400 19116.8240  18.6%  36.2    3s
H  136   132                    23372.376733 19116.8240  18.2%  36.0    3s
H  137   133                    23340.376733 19116.8240  18.1%  35.8    3s
H  138   134                    23101.376733 19116.8240  17.2%  35.6    3s
H  139   131                    22606.500000 19116.8240  15.4%  35.4    3s
H  228   214                    22556.796192 19131.2506  15.2%  39.2    4s
H  233   210                    22227.497512 19131.2506  13.9%  39.0    4s
