Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x8cae3cbe
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 1e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16715 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 52000.000000

Root relaxation: objective 1.673315e+04, 3306 iterations, 0.18 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16733.1521    0   81 52000.0000 16733.1521  67.8%     -    0s
H    0     0                    47280.485687 16733.1521  64.6%     -    0s
     0     0 17878.2773    0   73 47280.4857 17878.2773  62.2%     -    0s
H    0     0                    42758.844956 17878.2773  58.2%     -    0s
     0     0 17880.7481    0   72 42758.8450 17880.7481  58.2%     -    0s
     0     0 19326.5000    0   86 42758.8450 19326.5000  54.8%     -    0s
     0     0 19855.4273    0   91 42758.8450 19855.4273  53.6%     -    0s
     0     0 19886.0259    0   91 42758.8450 19886.0259  53.5%     -    0s
     0     0 19887.0089    0   91 42758.8450 19887.0089  53.5%     -    0s
     0     0 19887.0101    0   91 42758.8450 19887.0101  53.5%     -    0s
     0     0 20106.2072    0   97 42758.8450 20106.2072  53.0%     -    0s
     0     0 20146.9518    0   93 42758.8450 20146.9518  52.9%     -    0s
     0     0 20162.9859    0   93 42758.8450 20162.9859  52.8%     -    0s
     0     0 20163.2412    0   93 42758.8450 20163.2412  52.8%     -    0s
     0     0 20226.6736    0   93 42758.8450 20226.6736  52.7%     -    0s
     0     0 20233.2342    0   93 42758.8450 20233.2342  52.7%     -    1s
     0     0 20234.7708    0   92 42758.8450 20234.7708  52.7%     -    1s
     0     0 20234.9488    0   92 42758.8450 20234.9488  52.7%     -    1s
     0     0 20279.6257    0   94 42758.8450 20279.6257  52.6%     -    1s
H    0     0                    42314.390417 20279.6257  52.1%     -    1s
     0     0 20287.8673    0   97 42314.3904 20287.8673  52.1%     -    1s
     0     0 20288.9114    0   97 42314.3904 20288.9114  52.1%     -    1s
     0     0 20289.1599    0   97 42314.3904 20289.1599  52.1%     -    1s
     0     0 20320.8924    0   94 42314.3904 20320.8924  52.0%     -    1s
     0     0 20325.3132    0   95 42314.3904 20325.3132  52.0%     -    1s
     0     0 20326.1188    0   94 42314.3904 20326.1188  52.0%     -    1s
     0     0 20391.6459    0   95 42314.3904 20391.6459  51.8%     -    1s
H    0     0                    42288.537704 20391.6459  51.8%     -    1s
     0     0 20397.4008    0   95 42288.5377 20397.4008  51.8%     -    1s
     0     0 20399.2907    0   95 42288.5377 20399.2907  51.8%     -    1s
     0     0 20400.0052    0   95 42288.5377 20400.0052  51.8%     -    1s
     0     0 20445.4462    0   95 42288.5377 20445.4462  51.7%     -    1s
     0     0 20450.8134    0   94 42288.5377 20450.8134  51.6%     -    1s
     0     0 20451.0506    0   95 42288.5377 20451.0506  51.6%     -    1s
     0     0 20470.0341    0   94 42288.5377 20470.0341  51.6%     -    1s
     0     0 20473.1592    0   94 42288.5377 20473.1592  51.6%     -    1s
     0     0 20474.2398    0   97 42288.5377 20474.2398  51.6%     -    1s
     0     0 20484.1897    0   95 42288.5377 20484.1897  51.6%     -    1s
     0     0 20490.2951    0   94 42288.5377 20490.2951  51.5%     -    1s
     0     0 20490.5731    0   95 42288.5377 20490.5731  51.5%     -    1s
     0     0 20493.8741    0   94 42288.5377 20493.8741  51.5%     -    1s
     0     0 20494.0533    0   94 42288.5377 20494.0533  51.5%     -    1s
     0     0 20500.5961    0   93 42288.5377 20500.5961  51.5%     -    1s
     0     0 20500.5961    0   93 42288.5377 20500.5961  51.5%     -    2s
H    0     0                    34869.517265 20500.5961  41.2%     -    2s
     0     2 20513.7565    0   93 34869.5173 20513.7565  41.2%     -    2s
H   43    43                    34567.529098 20527.3799  40.6%  38.1    2s
H   45    45                    33915.727180 20527.3799  39.5%  37.3    2s
H   46    46                    33647.203652 20527.3799  39.0%  37.1    2s
H   47    47                    33550.775503 20527.3799  38.8%  37.4    2s
H   52    52                    33382.026313 20527.3799  38.5%  36.9    2s
H   60    56                    33322.075198 20527.3799  38.4%  35.2    2s
H   62    58                    32614.498466 20527.3799  37.1%  34.5    2s
H   64    60                    31718.303396 20527.3799  35.3%  34.2    2s
H   72    68                    31356.903663 20527.3799  34.5%  35.8    2s
H   77    73                    31274.289305 20527.3799  34.4%  35.5    3s
H   78    74                    30364.630168 20527.3799  32.4%  35.5    3s
H   89    85                    30269.792349 20527.3799  32.2%  34.7    3s
