Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x6dce863f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 130004.00000

Root relaxation: objective 2.978491e+04, 5520 iterations, 0.34 seconds (0.41 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 29784.9084    0   61 130004.000 29784.9084  77.1%     -    0s
H    0     0                    81659.761061 29784.9084  63.5%     -    0s
H    0     0                    81320.589899 29784.9084  63.4%     -    0s
     0     0 31315.6713    0   54 81320.5899 31315.6713  61.5%     -    0s
H    0     0                    72409.678545 31315.6713  56.8%     -    0s
     0     0 37198.4084    0   69 72409.6785 37198.4084  48.6%     -    0s
     0     0 37229.5204    0   71 72409.6785 37229.5204  48.6%     -    0s
     0     0 39487.2736    0   73 72409.6785 39487.2736  45.5%     -    0s
     0     0 39566.9034    0   76 72409.6785 39566.9034  45.4%     -    0s
     0     0 39572.3456    0   75 72409.6785 39572.3456  45.3%     -    0s
     0     0 39572.3864    0   76 72409.6785 39572.3864  45.3%     -    0s
     0     0 39955.1595    0   74 72409.6785 39955.1595  44.8%     -    1s
H    0     0                    72081.068796 39955.1595  44.6%     -    1s
     0     0 39963.2256    0   75 72081.0688 39963.2256  44.6%     -    1s
     0     0 39969.3056    0   77 72081.0688 39969.3056  44.5%     -    1s
     0     0 39969.4221    0   78 72081.0688 39969.4221  44.5%     -    1s
     0     0 40114.3270    0   82 72081.0688 40114.3270  44.3%     -    1s
     0     0 40132.6841    0   83 72081.0688 40132.6841  44.3%     -    1s
     0     0 40142.6788    0   84 72081.0688 40142.6788  44.3%     -    1s
     0     0 40143.8696    0   86 72081.0688 40143.8696  44.3%     -    1s
     0     0 40272.6022    0   84 72081.0688 40272.6022  44.1%     -    1s
H    0     0                    71403.725134 40272.6022  43.6%     -    1s
     0     0 40291.8916    0   85 71403.7251 40291.8916  43.6%     -    1s
     0     0 40292.2698    0   84 71403.7251 40292.2698  43.6%     -    1s
     0     0 40379.0266    0   87 71403.7251 40379.0266  43.4%     -    1s
     0     0 40394.2613    0   88 71403.7251 40394.2613  43.4%     -    1s
     0     0 40396.0745    0   87 71403.7251 40396.0745  43.4%     -    1s
     0     0 40481.4678    0   85 71403.7251 40481.4678  43.3%     -    1s
     0     0 40508.2146    0   87 71403.7251 40508.2146  43.3%     -    1s
     0     0 40510.2032    0   87 71403.7251 40510.2032  43.3%     -    1s
     0     0 40610.2662    0   87 71403.7251 40610.2662  43.1%     -    1s
     0     0 40617.0450    0   89 71403.7251 40617.0450  43.1%     -    1s
     0     0 40627.7442    0   87 71403.7251 40627.7442  43.1%     -    1s
     0     0 40628.3870    0   89 71403.7251 40628.3870  43.1%     -    1s
     0     0 40667.4045    0   89 71403.7251 40667.4045  43.0%     -    1s
     0     0 40670.1652    0   89 71403.7251 40670.1652  43.0%     -    1s
     0     0 40713.5741    0   89 71403.7251 40713.5741  43.0%     -    1s
     0     0 40721.8569    0   89 71403.7251 40721.8569  43.0%     -    1s
     0     0 40722.7270    0   89 71403.7251 40722.7270  43.0%     -    1s
     0     0 40751.8245    0   88 71403.7251 40751.8245  42.9%     -    1s
H    0     0                    70103.572162 40751.8245  41.9%     -    1s
     0     0 40761.8299    0   89 70103.5722 40761.8299  41.9%     -    1s
     0     0 40768.0064    0   89 70103.5722 40768.0064  41.8%     -    1s
     0     0 40768.1121    0   89 70103.5722 40768.1121  41.8%     -    1s
     0     0 40785.5723    0   91 70103.5722 40785.5723  41.8%     -    1s
     0     0 40792.5458    0   89 70103.5722 40792.5458  41.8%     -    1s
     0     0 40793.1679    0   88 70103.5722 40793.1679  41.8%     -    1s
     0     0 40807.7184    0   88 70103.5722 40807.7184  41.8%     -    1s
     0     0 40807.7184    0   88 70103.5722 40807.7184  41.8%     -    3s
H    0     0                    59772.592093 40807.7184  31.7%     -    3s
H    0     0                    59041.465171 40807.7184  30.9%     -    3s
H    0     0                    58575.418225 40807.7184  30.3%     -    3s
     0     2 40807.9854    0   88 58575.4182 40807.9854  30.3%     -    3s
H   26    26                    57888.315619 40901.0318  29.3%  67.0    3s
H   45    45                    57764.550071 40901.0318  29.2%  53.7    3s
H   46    46                    56216.459923 40901.0318  27.2%  53.2    3s
H   47    47                    53334.850258 40901.0318  23.3%  52.6    3s
