Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xa999d9f0
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 1e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 114400.00000

Root relaxation: objective 2.297166e+04, 3945 iterations, 0.21 seconds (0.23 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 22971.6569    0   85 114400.000 22971.6569  79.9%     -    0s
H    0     0                    90109.123364 22971.6569  74.5%     -    0s
H    0     0                    89720.176214 22971.6569  74.4%     -    0s
     0     0 23439.8642    0   93 89720.1762 23439.8642  73.9%     -    0s
     0     0 23708.7988    0   90 89720.1762 23708.7988  73.6%     -    0s
     0     0 23717.3617    0   90 89720.1762 23717.3617  73.6%     -    0s
     0     0 23720.8287    0   89 89720.1762 23720.8287  73.6%     -    0s
     0     0 23721.9925    0   89 89720.1762 23721.9925  73.6%     -    0s
     0     0 23722.1582    0   89 89720.1762 23722.1582  73.6%     -    0s
     0     0 23722.1967    0   89 89720.1762 23722.1967  73.6%     -    0s
     0     0 24879.3363    0   96 89720.1762 24879.3363  72.3%     -    0s
     0     0 25261.9286    0   94 89720.1762 25261.9286  71.8%     -    0s
     0     0 25304.1554    0   94 89720.1762 25304.1554  71.8%     -    0s
     0     0 25305.1333    0   95 89720.1762 25305.1333  71.8%     -    0s
     0     0 25305.1962    0   95 89720.1762 25305.1962  71.8%     -    0s
     0     0 27566.1589    0   81 89720.1762 27566.1589  69.3%     -    0s
H    0     0                    87774.257874 27566.1589  68.6%     -    0s
     0     0 28366.5153    0   79 87774.2579 28366.5153  67.7%     -    1s
     0     0 28719.4837    0   78 87774.2579 28719.4837  67.3%     -    1s
     0     0 28724.1223    0   78 87774.2579 28724.1223  67.3%     -    1s
     0     0 28728.8104    0   77 87774.2579 28728.8104  67.3%     -    1s
     0     0 28728.9529    0   78 87774.2579 28728.9529  67.3%     -    1s
     0     0 30145.7684    0   83 87774.2579 30145.7684  65.7%     -    1s
     0     0 31632.3549    0   80 87774.2579 31632.3549  64.0%     -    1s
     0     0 31853.9240    0   80 87774.2579 31853.9240  63.7%     -    1s
     0     0 31854.7081    0   80 87774.2579 31854.7081  63.7%     -    1s
     0     0 32878.5040    0   87 87774.2579 32878.5040  62.5%     -    1s
     0     0 33149.6342    0   86 87774.2579 33149.6342  62.2%     -    1s
     0     0 33195.9058    0   83 87774.2579 33195.9058  62.2%     -    1s
     0     0 33210.6795    0   85 87774.2579 33210.6795  62.2%     -    1s
     0     0 33212.0069    0   85 87774.2579 33212.0069  62.2%     -    1s
     0     0 33617.8087    0   85 87774.2579 33617.8087  61.7%     -    1s
H    0     0                    87207.364733 33617.8087  61.5%     -    1s
     0     0 33828.3356    0   87 87207.3647 33828.3356  61.2%     -    1s
     0     0 33848.5718    0   89 87207.3647 33848.5718  61.2%     -    1s
     0     0 33852.3583    0   88 87207.3647 33852.3583  61.2%     -    1s
     0     0 33852.6124    0   88 87207.3647 33852.6124  61.2%     -    1s
     0     0 34206.6906    0   86 87207.3647 34206.6906  60.8%     -    1s
     0     0 34266.0166    0   88 87207.3647 34266.0166  60.7%     -    2s
     0     0 34274.3483    0   86 87207.3647 34274.3483  60.7%     -    2s
     0     0 34275.4201    0   86 87207.3647 34275.4201  60.7%     -    2s
     0     0 34479.0637    0   86 87207.3647 34479.0637  60.5%     -    2s
     0     0 34548.7182    0   87 87207.3647 34548.7182  60.4%     -    2s
     0     0 34561.7017    0   87 87207.3647 34561.7017  60.4%     -    2s
     0     0 34563.4331    0   86 87207.3647 34563.4331  60.4%     -    2s
     0     0 34777.2754    0   86 87207.3647 34777.2754  60.1%     -    2s
     0     0 34847.4833    0   87 87207.3647 34847.4833  60.0%     -    2s
     0     0 34858.6659    0   87 87207.3647 34858.6659  60.0%     -    2s
     0     0 34861.3617    0   88 87207.3647 34861.3617  60.0%     -    2s
     0     0 35097.9685    0   91 87207.3647 35097.9685  59.8%     -    2s
H    0     0                    85711.937196 35097.9685  59.1%     -    2s
     0     0 35141.8571    0   88 85711.9372 35141.8571  59.0%     -    2s
     0     0 35152.2406    0   90 85711.9372 35152.2406  59.0%     -    2s
     0     0 35152.5619    0   87 85711.9372 35152.5619  59.0%     -    2s
     0     0 35270.0222    0   86 85711.9372 35270.0222  58.9%     -    2s
     0     0 35304.9266    0   87 85711.9372 35304.9266  58.8%     -    2s
