Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x81ce3956
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16718 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 1.005106e+04, 3316 iterations, 0.10 seconds (0.10 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 10051.0621    0   91 20800.0000 10051.0621  51.7%     -    0s
H    0     0                    20509.000000 10051.0621  51.0%     -    0s
     0     0 10448.6490    0   89 20509.0000 10448.6490  49.1%     -    0s
     0     0 10479.4513    0   89 20509.0000 10479.4513  48.9%     -    0s
     0     0 10601.0250    0   90 20509.0000 10601.0250  48.3%     -    0s
     0     0 10629.1096    0   87 20509.0000 10629.1096  48.2%     -    0s
     0     0 10629.5056    0   88 20509.0000 10629.5056  48.2%     -    0s
     0     0 10679.9190    0   92 20509.0000 10679.9190  47.9%     -    0s
     0     0 10693.4991    0   96 20509.0000 10693.4991  47.9%     -    0s
     0     0 10694.5354    0   96 20509.0000 10694.5354  47.9%     -    0s
     0     0 10694.6107    0   96 20509.0000 10694.6107  47.9%     -    0s
     0     0 10739.7845    0   95 20509.0000 10739.7845  47.6%     -    0s
     0     0 10743.1886    0   97 20509.0000 10743.1886  47.6%     -    0s
     0     0 10743.6201    0   97 20509.0000 10743.6201  47.6%     -    0s
     0     0 10743.6305    0   98 20509.0000 10743.6305  47.6%     -    0s
     0     0 10755.2322    0  101 20509.0000 10755.2322  47.6%     -    0s
     0     0 10759.4141    0  102 20509.0000 10759.4141  47.5%     -    0s
     0     0 10760.7499    0  101 20509.0000 10760.7499  47.5%     -    0s
     0     0 10760.9663    0  102 20509.0000 10760.9663  47.5%     -    0s
     0     0 10760.9745    0  102 20509.0000 10760.9745  47.5%     -    0s
     0     0 10778.8177    0   99 20509.0000 10778.8177  47.4%     -    0s
     0     0 10780.7385    0  100 20509.0000 10780.7385  47.4%     -    0s
     0     0 10780.9668    0  100 20509.0000 10780.9668  47.4%     -    0s
     0     0 10791.6033    0  101 20509.0000 10791.6033  47.4%     -    0s
     0     0 10794.7398    0  101 20509.0000 10794.7398  47.4%     -    0s
     0     0 10795.0333    0  101 20509.0000 10795.0333  47.4%     -    0s
     0     0 10795.1194    0  101 20509.0000 10795.1194  47.4%     -    0s
     0     0 10801.3525    0  100 20509.0000 10801.3525  47.3%     -    0s
     0     0 10802.0073    0  101 20509.0000 10802.0073  47.3%     -    0s
     0     0 10802.3115    0   97 20509.0000 10802.3115  47.3%     -    0s
     0     0 10802.3655    0  100 20509.0000 10802.3655  47.3%     -    0s
     0     0 10809.5397    0  100 20509.0000 10809.5397  47.3%     -    0s
     0     0 10810.6562    0  101 20509.0000 10810.6562  47.3%     -    0s
     0     0 10810.7479    0  101 20509.0000 10810.7479  47.3%     -    0s
     0     0 10812.0413    0  102 20509.0000 10812.0413  47.3%     -    1s
     0     0 10812.1630    0  102 20509.0000 10812.1630  47.3%     -    1s
     0     0 10816.1371    0  102 20509.0000 10816.1371  47.3%     -    1s
     0     0 10816.3173    0  102 20509.0000 10816.3173  47.3%     -    1s
     0     0 10817.0045    0  102 20509.0000 10817.0045  47.3%     -    1s
     0     0 10817.0045    0  102 20509.0000 10817.0045  47.3%     -    2s
H    0     0                    16385.777617 10817.0045  34.0%     -    2s
H    0     0                    16211.273596 10828.0708  33.2%     -    2s
     0     2 10828.0708    0  102 16211.2736 10828.0708  33.2%     -    2s
H   26    26                    15643.056323 10831.2011  30.8%  26.0    2s
H   43    43                    15412.927467 10831.2011  29.7%  23.6    2s
H   44    44                    14996.659660 10831.2011  27.8%  23.3    2s
H   49    49                    14816.088465 10831.2011  26.9%  22.2    2s
H   52    52                    14237.543428 10831.2011  23.9%  21.8    2s
H   56    56                    14236.920642 10831.2011  23.9%  21.3    2s
H   57    57                    14109.068011 10831.2011  23.2%  21.0    2s
H   59    59                    13985.236230 10831.2011  22.6%  20.4    2s
H   60    60                    13819.948009 10831.2011  21.6%  20.1    2s
H   61    61                    13761.123164 10831.2011  21.3%  19.8    2s
H   63    63                    13505.039633 10831.2011  19.8%  19.6    2s
H   66    66                    13457.292265 10831.2011  19.5%  19.3    2s
H   71    71                    13451.863140 10831.2011  19.5%  18.6    2s
H   72    72                    13441.663140 10831.2011  19.4%  18.4    2s
H   73    73                    13101.763093 10831.2011  17.3%  18.1    2s
