Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0xf1090ebd
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Found heuristic solution: objective 55459.200000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 1.456525e+04, 801 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 14565.2474    0   86 55459.2000 14565.2474  73.7%     -    0s
H    0     0                    34084.163808 14565.2474  57.3%     -    0s
H    0     0                    33575.703373 14565.2474  56.6%     -    0s
     0     0 14788.1526    0   89 33575.7034 14788.1526  56.0%     -    0s
     0     0 14804.8951    0   90 33575.7034 14804.8951  55.9%     -    0s
     0     0 14966.6936    0   97 33575.7034 14966.6936  55.4%     -    0s
     0     0 14989.1709    0   94 33575.7034 14989.1709  55.4%     -    0s
     0     0 14989.2683    0   94 33575.7034 14989.2683  55.4%     -    0s
     0     0 15106.0069    0   98 33575.7034 15106.0069  55.0%     -    0s
     0     0 15145.9795    0   97 33575.7034 15145.9795  54.9%     -    0s
     0     0 15147.3805    0   99 33575.7034 15147.3805  54.9%     -    0s
     0     0 15147.4521    0   99 33575.7034 15147.4521  54.9%     -    0s
     0     0 15248.4266    0   93 33575.7034 15248.4266  54.6%     -    0s
H    0     0                    33493.525170 15248.4266  54.5%     -    0s
     0     0 15265.6974    0   92 33493.5252 15265.6974  54.4%     -    0s
     0     0 15265.8590    0   92 33493.5252 15265.8590  54.4%     -    0s
     0     0 15337.8294    0   94 33493.5252 15337.8294  54.2%     -    0s
     0     0 15360.6673    0   90 33493.5252 15360.6673  54.1%     -    0s
     0     0 15361.5017    0   92 33493.5252 15361.5017  54.1%     -    0s
     0     0 15361.8708    0   92 33493.5252 15361.8708  54.1%     -    0s
     0     0 15468.4018    0   93 33493.5252 15468.4018  53.8%     -    0s
     0     0 15478.1648    0   95 33493.5252 15478.1648  53.8%     -    0s
     0     0 15478.6151    0   95 33493.5252 15478.6151  53.8%     -    0s
     0     0 15478.7815    0   95 33493.5252 15478.7815  53.8%     -    0s
     0     0 15553.3917    0   96 33493.5252 15553.3917  53.6%     -    0s
     0     0 15579.5150    0   98 33493.5252 15579.5150  53.5%     -    0s
     0     0 15581.1669    0   98 33493.5252 15581.1669  53.5%     -    0s
     0     0 15581.4883    0   98 33493.5252 15581.4883  53.5%     -    0s
     0     0 15624.3206    0   97 33493.5252 15624.3206  53.4%     -    0s
     0     0 15646.4929    0   97 33493.5252 15646.4929  53.3%     -    0s
     0     0 15647.4851    0   97 33493.5252 15647.4851  53.3%     -    0s
     0     0 15647.6165    0   97 33493.5252 15647.6165  53.3%     -    0s
     0     0 15679.8738    0   97 33493.5252 15679.8738  53.2%     -    0s
     0     0 15686.5205    0   97 33493.5252 15686.5205  53.2%     -    0s
     0     0 15688.4100    0   96 33493.5252 15688.4100  53.2%     -    0s
     0     0 15688.9115    0   97 33493.5252 15688.9115  53.2%     -    0s
     0     0 15708.4382    0   96 33493.5252 15708.4382  53.1%     -    0s
     0     0 15711.0345    0   95 33493.5252 15711.0345  53.1%     -    0s
     0     0 15711.4970    0   96 33493.5252 15711.4970  53.1%     -    0s
     0     0 15739.9338    0   97 33493.5252 15739.9338  53.0%     -    0s
     0     0 15742.8339    0   96 33493.5252 15742.8339  53.0%     -    0s
     0     0 15743.2360    0   95 33493.5252 15743.2360  53.0%     -    0s
     0     0 15749.3174    0   97 33493.5252 15749.3174  53.0%     -    0s
     0     0 15749.7821    0   97 33493.5252 15749.7821  53.0%     -    0s
     0     0 15767.5701    0   96 33493.5252 15767.5701  52.9%     -    0s
     0     0 15770.0150    0   96 33493.5252 15770.0150  52.9%     -    0s
     0     0 15770.2638    0   97 33493.5252 15770.2638  52.9%     -    0s
     0     0 15788.7174    0   98 33493.5252 15788.7174  52.9%     -    0s
     0     0 15790.6579    0   98 33493.5252 15790.6579  52.9%     -    0s
     0     0 15791.3219    0   98 33493.5252 15791.3219  52.9%     -    0s
     0     0 15799.2470    0   95 33493.5252 15799.2470  52.8%     -    1s
     0     0 15803.4543    0   96 33493.5252 15803.4543  52.8%     -    1s
     0     0 15803.5032    0   96 33493.5252 15803.5032  52.8%     -    1s
     0     0 15811.9215    0   97 33493.5252 15811.9215  52.8%     -    1s
     0     0 15813.3498    0   97 33493.5252 15813.3498  52.8%     -    1s
