Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0x25bcf9d5
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [2e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Found heuristic solution: objective 81580.000000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 1.317312e+04, 567 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13173.1185    0   84 81580.0000 13173.1185  83.9%     -    0s
H    0     0                    31364.981597 13173.1185  58.0%     -    0s
H    0     0                    31042.026326 13173.1185  57.6%     -    0s
     0     0 13304.4769    0   86 31042.0263 13304.4769  57.1%     -    0s
     0     0 13315.8309    0   84 31042.0263 13315.8309  57.1%     -    0s
     0     0 13315.9585    0   84 31042.0263 13315.9585  57.1%     -    0s
     0     0 13315.9626    0   84 31042.0263 13315.9626  57.1%     -    0s
     0     0 13407.4297    0   94 31042.0263 13407.4297  56.8%     -    0s
     0     0 13414.7201    0   91 31042.0263 13414.7201  56.8%     -    0s
     0     0 13414.7614    0   90 31042.0263 13414.7614  56.8%     -    0s
     0     0 13492.2654    0   94 31042.0263 13492.2654  56.5%     -    0s
     0     0 13506.2350    0   95 31042.0263 13506.2350  56.5%     -    0s
     0     0 13542.0440    0   96 31042.0263 13542.0440  56.4%     -    0s
H    0     0                    30420.446656 13542.0440  55.5%     -    0s
     0     0 13554.1753    0   97 30420.4467 13554.1753  55.4%     -    0s
     0     0 13559.3333    0   96 30420.4467 13559.3333  55.4%     -    0s
     0     0 13560.1487    0   97 30420.4467 13560.1487  55.4%     -    0s
     0     0 13574.9727    0   96 30420.4467 13574.9727  55.4%     -    0s
     0     0 13577.1458    0   94 30420.4467 13577.1458  55.4%     -    0s
     0     0 13577.4647    0   94 30420.4467 13577.4647  55.4%     -    0s
     0     0 13617.7449    0   99 30420.4467 13617.7449  55.2%     -    0s
     0     0 13632.3523    0   97 30420.4467 13632.3523  55.2%     -    0s
     0     0 13634.0827    0   98 30420.4467 13634.0827  55.2%     -    0s
     0     0 13634.1328    0   98 30420.4467 13634.1328  55.2%     -    0s
     0     0 13660.6936    0   98 30420.4467 13660.6936  55.1%     -    0s
     0     0 13668.2112    0   97 30420.4467 13668.2112  55.1%     -    0s
     0     0 13673.0597    0   96 30420.4467 13673.0597  55.1%     -    0s
     0     0 13673.1391    0   96 30420.4467 13673.1391  55.1%     -    0s
     0     0 13705.5939    0   99 30420.4467 13705.5939  54.9%     -    0s
     0     0 13709.3478    0   99 30420.4467 13709.3478  54.9%     -    0s
     0     0 13709.6396    0   98 30420.4467 13709.6396  54.9%     -    0s
     0     0 13725.9699    0   96 30420.4467 13725.9699  54.9%     -    0s
     0     0 13731.1987    0   95 30420.4467 13731.1987  54.9%     -    0s
     0     0 13734.3729    0   97 30420.4467 13734.3729  54.9%     -    0s
     0     0 13735.7152    0   95 30420.4467 13735.7152  54.8%     -    0s
     0     0 13735.7821    0   96 30420.4467 13735.7821  54.8%     -    0s
     0     0 13746.8527    0   96 30420.4467 13746.8527  54.8%     -    0s
     0     0 13749.6722    0   96 30420.4467 13749.6722  54.8%     -    0s
     0     0 13749.7527    0   96 30420.4467 13749.7527  54.8%     -    0s
     0     0 13756.0954    0   96 30420.4467 13756.0954  54.8%     -    0s
     0     0 13759.6762    0   97 30420.4467 13759.6762  54.8%     -    0s
     0     0 13760.2974    0   97 30420.4467 13760.2974  54.8%     -    0s
     0     0 13760.4402    0   97 30420.4467 13760.4402  54.8%     -    0s
     0     0 13768.2013    0   95 30420.4467 13768.2013  54.7%     -    0s
     0     0 13769.4365    0   96 30420.4467 13769.4365  54.7%     -    0s
     0     0 13769.9368    0   96 30420.4467 13769.9368  54.7%     -    0s
     0     0 13769.9836    0   96 30420.4467 13769.9836  54.7%     -    0s
     0     0 13787.5167    0   98 30420.4467 13787.5167  54.7%     -    0s
     0     0 13792.8361    0   97 30420.4467 13792.8361  54.7%     -    0s
     0     0 13795.4929    0   97 30420.4467 13795.4929  54.7%     -    0s
     0     0 13795.9332    0   97 30420.4467 13795.9332  54.6%     -    0s
     0     0 13795.9606    0   97 30420.4467 13795.9606  54.6%     -    0s
     0     0 13806.3157    0   98 30420.4467 13806.3157  54.6%     -    0s
     0     0 13810.1991    0   98 30420.4467 13810.1991  54.6%     -    0s
     0     0 13810.9524    0   98 30420.4467 13810.9524  54.6%     -    0s
