Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0xe26c3f50
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [4e+00, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Found heuristic solution: objective 111800.60000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 2.671016e+04, 1319 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 26710.1646    0   78 111800.600 26710.1646  76.1%     -    0s
H    0     0                    81830.454015 26710.1646  67.4%     -    0s
H    0     0                    81556.635134 26710.1646  67.2%     -    0s
     0     0 26818.8817    0   80 81556.6351 26818.8817  67.1%     -    0s
     0     0 26826.4904    0   81 81556.6351 26826.4904  67.1%     -    0s
     0     0 26826.5061    0   81 81556.6351 26826.5061  67.1%     -    0s
     0     0 26982.7737    0   80 81556.6351 26982.7737  66.9%     -    0s
     0     0 27007.3621    0   81 81556.6351 27007.3621  66.9%     -    0s
     0     0 27008.8750    0   82 81556.6351 27008.8750  66.9%     -    0s
     0     0 27009.0322    0   81 81556.6351 27009.0322  66.9%     -    0s
     0     0 27164.3130    0   82 81556.6351 27164.3130  66.7%     -    0s
     0     0 27181.1138    0   84 81556.6351 27181.1138  66.7%     -    0s
     0     0 27187.0726    0   83 81556.6351 27187.0726  66.7%     -    0s
     0     0 27188.0460    0   85 81556.6351 27188.0460  66.7%     -    0s
     0     0 27188.0508    0   85 81556.6351 27188.0508  66.7%     -    0s
     0     0 27349.9973    0   91 81556.6351 27349.9973  66.5%     -    0s
     0     0 27412.5859    0   90 81556.6351 27412.5859  66.4%     -    0s
     0     0 27418.9711    0   89 81556.6351 27418.9711  66.4%     -    0s
     0     0 27419.9509    0   90 81556.6351 27419.9509  66.4%     -    0s
     0     0 27419.9556    0   90 81556.6351 27419.9556  66.4%     -    0s
     0     0 27632.7172    0   93 81556.6351 27632.7172  66.1%     -    0s
     0     0 27661.2267    0   95 81556.6351 27661.2267  66.1%     -    0s
     0     0 27675.8691    0   95 81556.6351 27675.8691  66.1%     -    0s
     0     0 27676.5255    0   95 81556.6351 27676.5255  66.1%     -    0s
     0     0 27676.6085    0   95 81556.6351 27676.6085  66.1%     -    0s
     0     0 27901.1057    0   96 81556.6351 27901.1057  65.8%     -    0s
H    0     0                    81502.925924 27901.1057  65.8%     -    0s
     0     0 27957.2972    0   97 81502.9259 27957.2972  65.7%     -    0s
     0     0 27974.3405    0   97 81502.9259 27974.3405  65.7%     -    0s
     0     0 27977.7350    0   97 81502.9259 27977.7350  65.7%     -    0s
     0     0 27979.1595    0   97 81502.9259 27979.1595  65.7%     -    0s
     0     0 27979.2245    0   97 81502.9259 27979.2245  65.7%     -    0s
     0     0 28081.3494    0   96 81502.9259 28081.3494  65.5%     -    0s
     0     0 28132.8965    0   96 81502.9259 28132.8965  65.5%     -    0s
     0     0 28147.5520    0   97 81502.9259 28147.5520  65.5%     -    0s
     0     0 28154.6873    0   96 81502.9259 28154.6873  65.5%     -    0s
     0     0 28156.4550    0   97 81502.9259 28156.4550  65.5%     -    0s
     0     0 28156.8211    0   97 81502.9259 28156.8211  65.5%     -    0s
     0     0 28272.3629    0   97 81502.9259 28272.3629  65.3%     -    0s
H    0     0                    81332.721421 28272.3629  65.2%     -    0s
     0     0 28302.1188    0   97 81332.7214 28302.1188  65.2%     -    0s
     0     0 28318.1618    0   97 81332.7214 28318.1618  65.2%     -    0s
     0     0 28320.9247    0   97 81332.7214 28320.9247  65.2%     -    0s
     0     0 28321.4088    0   97 81332.7214 28321.4088  65.2%     -    1s
     0     0 28458.4845    0   98 81332.7214 28458.4845  65.0%     -    1s
     0     0 28494.2540    0   97 81332.7214 28494.2540  65.0%     -    1s
     0     0 28500.9617    0   97 81332.7214 28500.9617  65.0%     -    1s
     0     0 28503.7805    0   97 81332.7214 28503.7805  65.0%     -    1s
     0     0 28504.2351    0   97 81332.7214 28504.2351  65.0%     -    1s
     0     0 28647.9425    0   96 81332.7214 28647.9425  64.8%     -    1s
H    0     0                    80619.519992 28647.9425  64.5%     -    1s
     0     0 28672.5408    0   96 80619.5200 28672.5408  64.4%     -    1s
     0     0 28676.8621    0   95 80619.5200 28676.8621  64.4%     -    1s
     0     0 28680.1865    0   96 80619.5200 28680.1865  64.4%     -    1s
     0     0 28680.2844    0   96 80619.5200 28680.2844  64.4%     -    1s
     0     0 28788.4758    0   95 80619.5200 28788.4758  64.3%     -    1s
