Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0xaa5114e4
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [3e+00, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)
Found heuristic solution: objective 114414.00000

Root relaxation: objective 2.199249e+04, 1261 iterations, 0.05 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 21992.4893    0   77 114414.000 21992.4893  80.8%     -    0s
H    0     0                    77875.508333 21992.4893  71.8%     -    0s
     0     0 22141.8924    0   80 77875.5083 22141.8924  71.6%     -    0s
     0     0 22162.9025    0   80 77875.5083 22162.9025  71.5%     -    0s
     0     0 22166.3915    0   81 77875.5083 22166.3915  71.5%     -    0s
     0     0 22166.5469    0   81 77875.5083 22166.5469  71.5%     -    0s
     0     0 22166.5955    0   81 77875.5083 22166.5955  71.5%     -    0s
     0     0 22258.3026    0   82 77875.5083 22258.3026  71.4%     -    0s
     0     0 22285.1512    0   81 77875.5083 22285.1512  71.4%     -    0s
     0     0 22294.5506    0   81 77875.5083 22294.5506  71.4%     -    0s
     0     0 22299.1095    0   81 77875.5083 22299.1095  71.4%     -    0s
     0     0 22299.1329    0   81 77875.5083 22299.1329  71.4%     -    0s
     0     0 22446.1559    0   85 77875.5083 22446.1559  71.2%     -    0s
     0     0 22490.6919    0   83 77875.5083 22490.6919  71.1%     -    0s
     0     0 22494.7931    0   84 77875.5083 22494.7931  71.1%     -    0s
     0     0 22495.5134    0   83 77875.5083 22495.5134  71.1%     -    0s
     0     0 22495.5182    0   83 77875.5083 22495.5182  71.1%     -    0s
     0     0 22653.9084    0   86 77875.5083 22653.9084  70.9%     -    0s
     0     0 22690.0110    0   86 77875.5083 22690.0110  70.9%     -    0s
     0     0 22697.1996    0   88 77875.5083 22697.1996  70.9%     -    0s
     0     0 22698.7716    0   88 77875.5083 22698.7716  70.9%     -    0s
     0     0 22698.9684    0   88 77875.5083 22698.9684  70.9%     -    0s
     0     0 22875.0603    0   90 77875.5083 22875.0603  70.6%     -    0s
     0     0 22904.9330    0   91 77875.5083 22904.9330  70.6%     -    0s
     0     0 22908.5327    0   91 77875.5083 22908.5327  70.6%     -    0s
     0     0 22909.2055    0   91 77875.5083 22909.2055  70.6%     -    0s
     0     0 22909.2157    0   91 77875.5083 22909.2157  70.6%     -    0s
     0     0 23018.5162    0   89 77875.5083 23018.5162  70.4%     -    0s
H    0     0                    77794.186241 23018.5162  70.4%     -    0s
     0     0 23069.0464    0   88 77794.1862 23069.0464  70.3%     -    0s
     0     0 23077.2546    0   90 77794.1862 23077.2546  70.3%     -    0s
     0     0 23080.2791    0   89 77794.1862 23080.2791  70.3%     -    0s
     0     0 23080.7452    0   89 77794.1862 23080.7452  70.3%     -    0s
     0     0 23213.8431    0   93 77794.1862 23213.8431  70.2%     -    0s
     0     0 23244.5099    0   94 77794.1862 23244.5099  70.1%     -    0s
     0     0 23255.2817    0   93 77794.1862 23255.2817  70.1%     -    0s
     0     0 23265.0338    0   92 77794.1862 23265.0338  70.1%     -    0s
     0     0 23268.7451    0   92 77794.1862 23268.7451  70.1%     -    0s
     0     0 23268.8536    0   92 77794.1862 23268.8536  70.1%     -    0s
     0     0 23403.7463    0   92 77794.1862 23403.7463  69.9%     -    0s
H    0     0                    77591.416599 23403.7463  69.8%     -    0s
     0     0 23452.3814    0   92 77591.4166 23452.3814  69.8%     -    0s
     0     0 23464.8798    0   92 77591.4166 23464.8798  69.8%     -    0s
     0     0 23471.3497    0   92 77591.4166 23471.3497  69.8%     -    0s
     0     0 23471.9326    0   92 77591.4166 23471.9326  69.7%     -    0s
     0     0 23596.1259    0   92 77591.4166 23596.1259  69.6%     -    1s
     0     0 23621.7044    0   92 77591.4166 23621.7044  69.6%     -    1s
     0     0 23629.4680    0   92 77591.4166 23629.4680  69.5%     -    1s
     0     0 23631.6154    0   92 77591.4166 23631.6154  69.5%     -    1s
     0     0 23631.8833    0   92 77591.4166 23631.8833  69.5%     -    1s
     0     0 23766.2566    0   91 77591.4166 23766.2566  69.4%     -    1s
     0     0 23801.5401    0   93 77591.4166 23801.5401  69.3%     -    1s
     0     0 23806.1507    0   94 77591.4166 23806.1507  69.3%     -    1s
     0     0 23807.1641    0   93 77591.4166 23807.1641  69.3%     -    1s
     0     0 23911.2864    0   91 77591.4166 23911.2864  69.2%     -    1s
