Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0x4b1e5bf6
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [2e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Found heuristic solution: objective 157586.40000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 2.312657e+04, 878 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 23126.5675    0   84 157586.400 23126.5675  85.3%     -    0s
H    0     0                    90162.063959 23126.5675  74.4%     -    0s
H    0     0                    88529.825078 23126.5675  73.9%     -    0s
     0     0 23224.2226    0   85 88529.8251 23224.2226  73.8%     -    0s
     0     0 23244.0670    0   86 88529.8251 23244.0670  73.7%     -    0s
     0     0 23245.3526    0   86 88529.8251 23245.3526  73.7%     -    0s
     0     0 23245.3580    0   86 88529.8251 23245.3580  73.7%     -    0s
     0     0 23414.8387    0   89 88529.8251 23414.8387  73.6%     -    0s
     0     0 23449.9632    0   91 88529.8251 23449.9632  73.5%     -    0s
     0     0 23453.6479    0   91 88529.8251 23453.6479  73.5%     -    0s
     0     0 23611.9401    0   86 88529.8251 23611.9401  73.3%     -    0s
     0     0 23656.7564    0   88 88529.8251 23656.7564  73.3%     -    0s
     0     0 23660.7282    0   88 88529.8251 23660.7282  73.3%     -    0s
     0     0 23660.7402    0   88 88529.8251 23660.7402  73.3%     -    0s
     0     0 23838.7257    0   92 88529.8251 23838.7257  73.1%     -    0s
     0     0 23895.2038    0   94 88529.8251 23895.2038  73.0%     -    0s
     0     0 23902.7169    0   91 88529.8251 23902.7169  73.0%     -    0s
     0     0 23903.1281    0   92 88529.8251 23903.1281  73.0%     -    0s
     0     0 23903.2792    0   92 88529.8251 23903.2792  73.0%     -    0s
     0     0 24109.3967    0   90 88529.8251 24109.3967  72.8%     -    0s
     0     0 24127.2494    0   92 88529.8251 24127.2494  72.7%     -    0s
     0     0 24136.5513    0   93 88529.8251 24136.5513  72.7%     -    0s
     0     0 24140.7237    0   93 88529.8251 24140.7237  72.7%     -    0s
     0     0 24140.7844    0   92 88529.8251 24140.7844  72.7%     -    0s
     0     0 24281.3333    0   95 88529.8251 24281.3333  72.6%     -    0s
     0     0 24359.9880    0   95 88529.8251 24359.9880  72.5%     -    0s
     0     0 24372.4469    0   96 88529.8251 24372.4469  72.5%     -    0s
     0     0 24378.5110    0   96 88529.8251 24378.5110  72.5%     -    0s
     0     0 24380.2654    0   95 88529.8251 24380.2654  72.5%     -    0s
     0     0 24380.6735    0   96 88529.8251 24380.6735  72.5%     -    0s
     0     0 24543.6688    0   95 88529.8251 24543.6688  72.3%     -    0s
     0     0 24591.6769    0   95 88529.8251 24591.6769  72.2%     -    0s
     0     0 24610.2230    0   95 88529.8251 24610.2230  72.2%     -    0s
     0     0 24614.5710    0   96 88529.8251 24614.5710  72.2%     -    0s
     0     0 24616.1720    0   96 88529.8251 24616.1720  72.2%     -    0s
     0     0 24616.9169    0   96 88529.8251 24616.9169  72.2%     -    0s
     0     0 24759.6712    0   93 88529.8251 24759.6712  72.0%     -    0s
H    0     0                    88511.618079 24759.6712  72.0%     -    0s
     0     0 24823.1018    0   92 88511.6181 24823.1018  72.0%     -    0s
     0     0 24838.7040    0   94 88511.6181 24838.7040  71.9%     -    0s
     0     0 24839.8731    0   95 88511.6181 24839.8731  71.9%     -    0s
     0     0 24970.0043    0   93 88511.6181 24970.0043  71.8%     -    0s
     0     0 25021.1659    0   94 88511.6181 25021.1659  71.7%     -    0s
     0     0 25038.9144    0   96 88511.6181 25038.9144  71.7%     -    0s
     0     0 25043.9149    0   96 88511.6181 25043.9149  71.7%     -    0s
     0     0 25044.7319    0   96 88511.6181 25044.7319  71.7%     -    1s
     0     0 25177.3233    0   94 88511.6181 25177.3233  71.6%     -    1s
     0     0 25220.3734    0   94 88511.6181 25220.3734  71.5%     -    1s
     0     0 25229.7565    0   93 88511.6181 25229.7565  71.5%     -    1s
     0     0 25231.3599    0   94 88511.6181 25231.3599  71.5%     -    1s
     0     0 25338.6189    0   97 88511.6181 25338.6189  71.4%     -    1s
     0     0 25378.1667    0   95 88511.6181 25378.1667  71.3%     -    1s
     0     0 25391.7153    0   94 88511.6181 25391.7153  71.3%     -    1s
     0     0 25394.5357    0   96 88511.6181 25394.5357  71.3%     -    1s
     0     0 25394.8568    0   96 88511.6181 25394.8568  71.3%     -    1s
