Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0xb5f54942
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)
Found heuristic solution: objective 114452.00000

Root relaxation: objective 2.913919e+04, 1029 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 29139.1933    0   88 114452.000 29139.1933  74.5%     -    0s
H    0     0                    98150.711269 29139.1933  70.3%     -    0s
H    0     0                    98131.926640 29139.1933  70.3%     -    0s
     0     0 29385.8147    0   90 98131.9266 29385.8147  70.1%     -    0s
     0     0 29455.0309    0   90 98131.9266 29455.0309  70.0%     -    0s
     0     0 29455.2157    0   90 98131.9266 29455.2157  70.0%     -    0s
     0     0 29455.2226    0   90 98131.9266 29455.2226  70.0%     -    0s
     0     0 29728.2545    0   91 98131.9266 29728.2545  69.7%     -    0s
     0     0 29797.7272    0   92 98131.9266 29797.7272  69.6%     -    0s
     0     0 29813.7959    0   91 98131.9266 29813.7959  69.6%     -    0s
     0     0 29818.6303    0   90 98131.9266 29818.6303  69.6%     -    0s
     0     0 29818.6303    0   90 98131.9266 29818.6303  69.6%     -    0s
     0     0 30064.5738    0   90 98131.9266 30064.5738  69.4%     -    0s
     0     0 30154.5466    0   92 98131.9266 30154.5466  69.3%     -    0s
     0     0 30166.7630    0   92 98131.9266 30166.7630  69.3%     -    0s
     0     0 30167.6581    0   92 98131.9266 30167.6581  69.3%     -    0s
     0     0 30167.7381    0   92 98131.9266 30167.7381  69.3%     -    0s
     0     0 30442.1529    0   92 98131.9266 30442.1529  69.0%     -    0s
H    0     0                    97714.460897 30442.1529  68.8%     -    0s
     0     0 30536.8568    0   93 97714.4609 30536.8568  68.7%     -    0s
     0     0 30577.2358    0   94 97714.4609 30577.2358  68.7%     -    0s
     0     0 30584.6255    0   94 97714.4609 30584.6255  68.7%     -    0s
     0     0 30585.6929    0   93 97714.4609 30585.6929  68.7%     -    0s
     0     0 30585.8141    0   93 97714.4609 30585.8141  68.7%     -    0s
     0     0 30895.6181    0   94 97714.4609 30895.6181  68.4%     -    0s
     0     0 31010.5448    0   94 97714.4609 31010.5448  68.3%     -    0s
     0     0 31020.1834    0   94 97714.4609 31020.1834  68.3%     -    0s
     0     0 31022.5129    0   94 97714.4609 31022.5129  68.3%     -    0s
     0     0 31022.6836    0   94 97714.4609 31022.6836  68.3%     -    0s
     0     0 31480.5135    0   91 97714.4609 31480.5135  67.8%     -    0s
     0     0 31612.3357    0   91 97714.4609 31612.3357  67.6%     -    0s
     0     0 31622.3241    0   91 97714.4609 31622.3241  67.6%     -    0s
     0     0 31625.2189    0   91 97714.4609 31625.2189  67.6%     -    0s
     0     0 31629.5740    0   91 97714.4609 31629.5740  67.6%     -    0s
     0     0 31631.3957    0   91 97714.4609 31631.3957  67.6%     -    0s
     0     0 31631.9561    0   91 97714.4609 31631.9561  67.6%     -    0s
     0     0 32207.9315    0   91 97714.4609 32207.9315  67.0%     -    0s
     0     0 32295.9911    0   91 97714.4609 32295.9911  66.9%     -    0s
     0     0 32312.4145    0   91 97714.4609 32312.4145  66.9%     -    0s
     0     0 32315.4513    0   92 97714.4609 32315.4513  66.9%     -    0s
     0     0 32319.6109    0   92 97714.4609 32319.6109  66.9%     -    0s
     0     0 32319.7619    0   92 97714.4609 32319.7619  66.9%     -    0s
     0     0 32604.5397    0   92 97714.4609 32604.5397  66.6%     -    1s
     0     0 32673.4665    0   90 97714.4609 32673.4665  66.6%     -    1s
     0     0 32691.2095    0   90 97714.4609 32691.2095  66.5%     -    1s
     0     0 32692.4665    0   91 97714.4609 32692.4665  66.5%     -    1s
     0     0 33105.8223    0   92 97714.4609 33105.8223  66.1%     -    1s
     0     0 33189.8996    0   92 97714.4609 33189.8996  66.0%     -    1s
     0     0 33201.5743    0   92 97714.4609 33201.5743  66.0%     -    1s
     0     0 33204.3431    0   92 97714.4609 33204.3431  66.0%     -    1s
     0     0 33631.0404    0   92 97714.4609 33631.0404  65.6%     -    1s
     0     0 33690.9978    0   93 97714.4609 33690.9978  65.5%     -    1s
     0     0 33696.8352    0   93 97714.4609 33696.8352  65.5%     -    1s
     0     0 33698.1739    0   93 97714.4609 33698.1739  65.5%     -    1s
     0     0 34088.1254    0   91 97714.4609 34088.1254  65.1%     -    1s
