xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
122.0;0.0;18.0;46.0;1.0;0.0
0.0;90.0;0.0;8.0;0.0;1.0
133.0;0.0;45.0;55.0;1.0;0.0
133.0;0.0;70.0;89.0;1.0;0.0
0.0;132.0;97.0;8.0;0.0;1.0
0.0;0.0;0.0;67.0;0.0;0.0
0.0;107.0;0.0;1.0;0.0;1.0
133.0;0.0;20.0;44.0;1.0;0.0
0.0;91.0;11.0;3.0;0.0;1.0
133.0;0.0;37.0;55.0;1.0;0.0
133.0;0.0;77.0;99.0;1.0;0.0
0.0;133.0;108.0;9.0;0.0;1.0
0.0;0.0;0.0;56.0;0.0;0.0
0.0;101.0;0.0;0.0;0.0;1.0
127.0;0.0;16.0;53.0;1.0;0.0
0.0;96.0;0.0;0.0;0.0;1.0
133.0;0.0;38.0;34.0;1.0;0.0
133.0;0.0;90.0;70.0;1.0;0.0
0.0;105.0;96.0;6.0;0.0;1.0
0.0;0.0;0.0;56.0;0.0;0.0
0.0;96.0;0.0;15.0;0.0;1.0
133.0;0.0;24.0;65.0;1.0;0.0
0.0;72.0;0.0;59.0;0.0;1.0
0.0;106.0;0.0;12.0;0.0;1.0
133.0;0.0;25.0;65.0;1.0;0.0
0.0;98.0;15.0;6.0;0.0;1.0
133.0;0.0;44.0;57.0;1.0;0.0
133.0;0.0;73.0;99.0;1.0;0.0
0.0;133.0;96.0;28.0;0.0;1.0
0.0;0.0;0.0;75.0;0.0;0.0
0.0;95.0;0.0;34.0;0.0;1.0
0.0;95.0;0.0;10.0;0.0;1.0
133.0;0.0;37.0;60.0;1.0;0.0
0.0;119.0;56.0;0.0;0.0;1.0
133.0;0.0;95.0;54.0;1.0;0.0
0.0;0.0;0.0;102.0;0.0;0.0
0.0;115.0;0.0;57.0;0.0;1.0
0.0;102.0;0.0;10.0;0.0;1.0
133.0;0.0;28.0;37.0;1.0;0.0
0.0;80.0;0.0;0.0;0.0;1.0
110.0;0.0;15.0;43.0;1.0;0.0
0.0;89.0;0.0;8.0;0.0;1.0
133.0;0.0;32.0;74.0;1.0;0.0
0.0;128.0;87.0;11.0;0.0;1.0
0.0;0.0;0.0;59.0;0.0;0.0
0.0;107.0;0.0;1.0;0.0;1.0
133.0;0.0;38.0;45.0;1.0;0.0
0.0;62.0;9.0;30.0;0.0;1.0
133.0;0.0;47.0;85.0;1.0;0.0
0.0;133.0;89.0;0.0;0.0;1.0
0.0;0.0;0.0;60.0;0.0;0.0
0.0;99.0;0.0;9.0;0.0;1.0
