xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
87.0;0.0;0.0;20.0;1.0;0.0
110.0;0.0;0.0;40.0;1.0;0.0
98.0;0.0;0.0;71.0;1.0;0.0
111.0;0.0;0.0;94.0;1.0;0.0
0.0;114.0;2.0;2.0;0.0;1.0
128.0;0.0;0.0;31.0;1.0;0.0
103.0;0.0;0.0;58.0;1.0;0.0
102.0;0.0;0.0;88.0;1.0;0.0
0.0;93.0;0.0;15.0;0.0;1.0
108.0;0.0;0.0;43.0;1.0;0.0
121.0;0.0;13.0;70.0;1.0;0.0
129.0;0.0;41.0;102.0;1.0;0.0
0.0;129.0;83.0;0.0;0.0;1.0
0.0;0.0;0.0;34.0;0.0;0.0
99.0;0.0;0.0;68.0;1.0;0.0
129.0;0.0;24.0;103.0;1.0;0.0
0.0;129.0;60.0;3.0;0.0;1.0
129.0;0.0;94.0;39.0;1.0;0.0
0.0;0.0;0.0;65.0;0.0;0.0
106.0;0.0;4.0;91.0;1.0;0.0
0.0;122.0;24.0;3.0;0.0;1.0
129.0;0.0;59.0;22.0;1.0;0.0
129.0;0.0;94.0;48.0;1.0;0.0
0.0;0.0;0.0;75.0;0.0;0.0
0.0;102.0;0.0;2.0;0.0;1.0
125.0;0.0;41.0;30.0;1.0;0.0
129.0;0.0;78.0;65.0;1.0;0.0
0.0;0.0;0.0;90.0;0.0;0.0
0.0;119.0;0.0;0.0;0.0;1.0
74.0;0.0;0.0;32.0;1.0;0.0
115.0;0.0;14.0;57.0;1.0;0.0
0.0;82.0;0.0;4.0;0.0;1.0
104.0;0.0;0.0;38.0;1.0;0.0
107.0;0.0;10.0;71.0;1.0;0.0
129.0;0.0;39.0;110.0;1.0;0.0
0.0;129.0;78.0;0.0;0.0;1.0
0.0;0.0;0.0;26.0;0.0;0.0
100.0;0.0;0.0;57.0;1.0;0.0
116.0;0.0;0.0;86.0;1.0;0.0
0.0;108.0;0.0;10.0;0.0;1.0
88.0;0.0;0.0;36.0;1.0;0.0
106.0;0.0;0.0;69.0;1.0;0.0
0.0;102.0;0.0;0.0;0.0;1.0
116.0;0.0;0.0;22.0;1.0;0.0
110.0;0.0;0.0;45.0;1.0;0.0
121.0;0.0;0.0;69.0;1.0;0.0
121.0;0.0;21.0;99.0;1.0;0.0
0.0;129.0;59.0;1.0;0.0;1.0
129.0;0.0;90.0;29.0;1.0;0.0
0.0;0.0;0.0;57.0;0.0;0.0
104.0;0.0;0.0;87.0;1.0;0.0
0.0;105.0;0.0;13.0;0.0;1.0
